,u,w,lap,m,k,fsq,t,vol
254,-11743.197,1536.3572,1881234.0,2048.0,2157.82,1383206.0,1275.0,2148.43
255,-11722.519,1356.6865,1860309.8,2048.0,2187.7358,1316734.2,1280.0,2153.8335
256,-11708.9375,869.83624,1809006.2,2048.0,2149.2559,1256562.1,1285.0,2167.062
257,-11770.892,1466.0057,1876199.1,2048.0,2150.5364,1308248.2,1290.0,2147.1467
258,-11782.327,1156.9976,1845194.8,2048.0,2192.2446,1218108.8,1295.0,2151.628
259,-11753.063,1237.625,1850848.0,2048.0,2090.9668,1299614.8,1300.0,2155.4214
260,-11783.829,1426.7802,1872884.0,2048.0,2115.497,1276949.0,1305.0,2146.606
261,-11752.927,1654.5901,1892507.4,2048.0,2105.281,1298098.6,1310.0,2146.373
262,-11727.023,1297.5181,1854221.0,2048.0,2118.6904,1321829.0,1315.0,2156.2083
263,-11815.606,1381.7,1870599.6,2048.0,2158.7534,1257396.4,1320.0,2144.5945
264,-11773.67,1210.4304,1849836.9,2048.0,2134.3281,1242651.1,1325.0,2152.0393
265,-11740.746,1028.3806,1828236.5,2048.0,2148.9526,1268743.1,1330.0,2159.6746
266,-11750.973,1639.3223,1890141.4,2048.0,2167.1372,1268053.4,1335.0,2146.1785
267,-11673.186,988.0092,1817188.0,2048.0,2090.5073,1293234.6,1340.0,2169.0789
268,-11711.621,1310.2251,1854608.2,2048.0,2165.4875,1354407.9,1345.0,2157.1443
269,-11783.132,1020.7081,1831636.9,2048.0,2191.9656,1266275.2,1350.0,2155.6572
270,-11761.278,1452.6179,1872972.1,2048.0,2162.2207,1293034.6,1355.0,2148.7354
271,-11653.079,1325.0404,1849667.4,2048.0,2125.2275,1327276.0,1360.0,2163.707
272,-11757.296,1434.8248,1870848.5,2048.0,2186.4417,1285912.2,1365.0,2149.2136
273,-11749.066,1209.8485,1847412.9,2048.0,2201.6978,1285016.6,1370.0,2155.0842
274,-11731.206,1141.2827,1838890.0,2048.0,2129.7808,1299059.4,1375.0,2158.635
275,-11752.4,1224.6716,1849492.2,2048.0,2112.097,1279878.2,1380.0,2154.4893
276,-11746.549,1431.7704,1868879.1,2048.0,2121.357,1301354.4,1385.0,2151.8726
277,-11784.71,1376.1692,1868515.8,2048.0,2060.4421,1283159.8,1390.0,2146.6335
278,-11815.044,1348.5101,1867585.9,2048.0,2150.945,1238964.9,1395.0,2145.6448
279,-11698.694,1250.9316,1846689.1,2048.0,2075.399,1357570.8,1400.0,2160.796
280,-11740.691,1733.553,1900648.8,2048.0,2163.0063,1356912.9,1405.0,2144.8564
281,-11715.339,1266.282,1850875.8,2048.0,2152.7585,1345052.4,1410.0,2158.1692
282,-11641.005,974.4168,1812197.6,2048.0,2141.1848,1246272.6,1415.0,2171.9526
283,-11629.081,1269.9731,1841239.2,2048.0,2101.5186,1316647.4,1420.0,2167.5732
284,-11598.764,1394.3295,1852033.9,2048.0,2134.8462,1389561.6,1425.0,2169.1008
285,-11709.952,1114.9406,1833524.1,2048.0,2139.6245,1294129.2,1430.0,2161.4456
286,-11736.236,1288.5831,1854638.8,2048.0,2137.6567,1306232.9,1435.0,2154.7388
287,-11745.374,1046.0659,1830511.0,2048.0,2130.4238,1263833.1,1440.0,2158.5708
288,-11728.049,797.5659,1803524.6,2048.0,2122.4304,1248075.6,1445.0,2166.4062
289,-11713.971,715.90436,1792693.5,2048.0,2120.6829,1198596.6,1450.0,2169.5955
290,-11731.35,1330.6764,1857704.4,2048.0,2229.5286,1260264.9,1455.0,2154.0654
291,-11676.235,1668.5258,1886878.5,2048.0,2105.0085,1339272.0,1460.0,2154.1824
292,-11722.726,1105.1637,1834053.6,2048.0,2162.666,1306287.9,1465.0,2160.0076
293,-11695.08,1569.6564,1878731.5,2048.0,2172.0088,1352523.6,1470.0,2153.625
294,-11653.677,1194.3279,1836359.9,2048.0,2123.307,1316656.9,1475.0,2166.5786
295,-11695.23,1643.953,1888151.4,2048.0,2178.4668,1395866.1,1480.0,2151.6934
296,-11638.326,1685.2637,1884074.8,2048.0,2245.913,1321451.2,1485.0,2158.3877
297,-11645.093,1478.3931,1864587.6,2048.0,2177.3416,1335186.9,1490.0,2161.7405
